ID_ARBRE,quartier,site,genre_arbre,situation,type_sol,surf_permeable,classe_age,hauteur,classe_hauteur,diametre,circonference (en cm),classe_circonference,port_arbre,vigueur_pousse,champignon_collet,insecte_collet,plaie_collet,observation_collet,champignon_tronc,insecte_tronc,fissure_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,plaie_tronc,observation_tronc,champignon_houppier,insecte_houppier,fissure_houppier,ecorce_incluse_houppier,bois_mort_houppier,plaie_houppier,observation_houppier,esperance_maintien,contrainte,classification_diagnostic,Long,Lat
86,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.9
87,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.065,48.9
88,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.067,48.9
89,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.064,48.901
90,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.096,48.896
91,Quartier 2 - Alsace - Pereire,Rue Pereire,Acer,Alignement,MA,3.0,JA,1200,H3,73.21127382227186,115,C3,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,Axe 3 Mort 2M Nord,1.0,Non,C2,2.07,48.901
92,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.086,48.902
93,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,25.464790894703256,40,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.066,48.9
94,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.065,48.9
95,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.899
96,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Alnus,Alignement,Gr,1.0,A,2000,H4,80.21409131831525,126,C3,L,P,Non,Non,RCPPL, Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.893
97,Quartier 2 - Alsace - Pereire,Nouveau cimetière,Fraxinus,Alignement,S,5.0,JA,1200,H3,50.92958178940651,80,C2,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.064,48.902
98,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLC,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.895
99,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,35.01408748021697,55,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.081,48.9
100,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.096,48.896
101,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.064,48.9
102,Quartier 2 - Alsace - Pereire,Rue Pereire,Acer,Alignement,MA,3.0,JA,700,H2,47.7464829275686,75,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Oui,HPBM ,HPLS,Écorce incluse,1.0,Oui,C3,2.07,48.901
103,Quartier 4 - Rotondes - St Léger,RN13,Tilia,Alignement,CS,3.0,J,600,H2,28.64788975654116,45,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.074,48.899
104,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,76.39437268410977,120,C3,R5,P,Non,Non,RCPLC,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.897
105,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.065,48.9
106,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,500,H1,22.281692032865347,35,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.067,48.896
107,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPLNC,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.068,48.901
108,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,500,H1,22.281692032865347,35,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.072,48.895
109,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,25.464790894703256,40,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.076,48.9
110,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,54.11268065124442,85,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.083,48.904
111,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,76.39437268410977,120,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.086,48.902
112,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,44.563384065730695,70,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,Axe 3 Mort 2M Nord,1.0,Non,C2,2.098,48.896
113,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HBMI ,HPLS,Axe 3 Mort 2M Nord,2.0,Non,C2,2.086,48.902
114,Quartier 1 - Cœur de Ville et Quatier forestier,Rue Thiers,Cercis,Isolé,MA,20.0,JA,400,H1,19.09859317102744,30,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,Autres,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.101,48.898
115,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,60.47887837492023,95,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.086,48.902
116,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Tilia,Bosquet,CS,100.0,AM,2500,H5,222.81692032865348,350,C7,L,MP,Non,Non,RCPLS,Drageons,Non,Non,TPF,Oui,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,ZZ,Lierre,3.0,Oui,C2,2.089,48.888
117,Quartier 2 - Alsace - Pereire,Rue Turgot,Corylus,Alignement,S,1.5,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPLNC,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,Problème de coupe,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.069,48.902
118,Quartier 4 - Rotondes - St Léger,Rue de l'Aurore,Acer,Alignement,S,1.0,JA,600,H2,47.7464829275686,75,C2,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.071,48.894
119,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,70.02817496043394,110,C3,R5,PP,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HBMU ,HPLS,Axe 3 Mort 2M Nord,2.0,Non,C3,2.085,48.903
120,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,19.09859317102744,30,C1,SL,PP,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPPL,Affaiblissement physiologique important,2.0,Non,C3,2.076,48.9
121,Quartier 2 - Alsace - Pereire,RN13,Tilia,Alignement,GR,4.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.9
122,Quartier 2 - Alsace - Pereire,Rue Bastiat,Acer,Alignement,S,1.0,JA,500,H1,28.64788975654116,45,C1,SL,PP,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPLNC,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,Affaiblissement physiologique important,3.0,Non,C4,2.072,48.902
123,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,500,H1,25.464790894703256,40,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.067,48.896
124,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.895
125,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,31.830988618379067,50,C1,SL,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.076,48.9
126,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.067,48.9
127,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,47.7464829275686,75,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.083,48.904
128,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Acer,Bosquet,CS,100.0,A,2000,H4,190.9859317102744,300,C6,L,PP,Oui,Non,RCPLNC,Fructification ganoderme,Non,Non,TPF,Non,Non,Non,TPLS,Lierre,Non,Non,HPF ,Non,HBMI ,HPLS,Lierre,4.0,Oui,C5,2.088,48.888
129,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,15.915494309189532,25,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.07,48.898
130,Quartier 7 - Debussy - Schnapper,Bois Schnapper,Fraxinus,Bosquet,CS,100.0,A,1800,H4,152.78874536821954,240,C5,L,MP,Oui,Non,RCPLNC,Fructification ganoderme,Non,Non,TPF,Non,Non,Non,TPLS,Lierre,Non,Non,HPF ,Non,HBMI ,HPLS,Lierre,4.0,Oui,C5,2.088,48.888
131,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,73.21127382227186,115,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
132,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,Gr,1.0,JA,800,H2,31.830988618379067,50,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.894
133,Quartier 2 - Alsace - Pereire,Rue Pereire,Corylus,Alignement,S,1.5,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C1,2.065,48.901
134,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,54.11268065124442,85,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.084,48.904
135,Quartier 4 - Rotondes - St Léger,Rue de l'Aurore,Acer,Alignement,S,1.0,JA,600,H2,28.64788975654116,45,C1,SL,MP,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Cavité ouverte ,Non,Non,HPF ,Non,HPBM ,HPLNC,Déchirure ,1.0,Non,C2,2.071,48.894
136,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,JA,700,H2,35.01408748021697,55,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.074,48.897
137,Quartier 2 - Alsace - Pereire,Rue Président Roosevelt,Ostrya,Alignement,Gr,1.0,J,500,H1,28.64788975654116,45,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.078,48.9
138,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Carpinus,Alignement,S,1.0,JA,800,H2,31.830988618379067,50,C1,L,P,Non,Non,RCPLS,Racine apparente,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.072,48.894
139,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,44.563384065730695,70,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.895
140,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.895
141,Quartier 2 - Alsace - Pereire,Rue Pereire,Acer,Alignement,MA,3.0,JA,500,H1,19.09859317102744,30,C1,SL,MP,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.069,48.901
142,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,28.64788975654116,45,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.067,48.9
143,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.065,48.9
144,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,500,H1,19.09859317102744,30,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.068,48.897
145,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,70.02817496043394,110,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.087,48.902
146,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.899
147,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,28.64788975654116,45,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.066,48.9
148,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,JA,700,H2,31.830988618379067,50,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.076,48.897
149,Quartier 2 - Alsace - Pereire,Rue Pereire,Acer,Alignement,MA,3.0,JA,700,H2,28.64788975654116,45,C1,SL,PP,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,Plaie longitudinale ,Non,Non,HPF ,Non,HPBM ,HPLS,Affaiblissement physiologique important,3.0,Non,C3,2.069,48.901
150,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,28.64788975654116,45,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.066,48.9
151,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,Échaudure ,Non,Non,HPF ,Non,HPBM ,HPLS,Échaudure,2.0,Non,C2,2.082,48.905
152,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,Tilia,Alignement,Gr,0.0,J,400,H1,28.64788975654116,45,C1,SL,PP,Non,Non,RCPPL,Bidime,Non,Non,TPF,Non,Non,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,3.0,Non,C1,2.074,48.903
153,Quartier 3 - Lycée International,RN13,Tilia,Alignement,GR,4.0,A,500,H1,25.464790894703256,40,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLNC,Branches cassées ,1.0,Non,C2,2.066,48.9
154,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Tilia,Alignement,Gr,1.0,A,500,H1,38.19718634205488,60,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.097,48.896
155,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,63.66197723675813,100,C2,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLNC,Axe 3 Mort 2M Nord,2.0,Non,C2,2.085,48.903
156,Quartier 6 - Hôpital,Rue Léon Désoyer,Ostrya,Alignement,Gr,1.0,J,500,H1,38.19718634205488,60,C2,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLNC,0,Non,Non,HPF ,Non,HPBM ,HPPL,0,1.0,Non,C2,2.081,48.9
157,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.896
158,Quartier 2 - Alsace - Pereire,Rue Pereire,Fraxinus,Alignement,MA,3.0,J,500,H1,25.464790894703256,40,C1,SL,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.071,48.901
159,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,57.29577951308232,90,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.099,48.897
160,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Tilia,Alignement,Gr,1.0,A,600,H2,54.11268065124442,85,C2,R5,P,Non,Non,RCPLC,0,Non,Non,TPF,Non,Non,Non,TPLC,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C2,2.098,48.896
161,Quartier 6 - Hôpital,Avenue Carnot,Carpinus,Groupe,Gr,1.0,JA,500,H1,44.563384065730695,70,C2,SL,MP,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPPL,Affaiblissement physiologique important,1.0,Non,C2,2.082,48.9
162,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.899
163,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,70.02817496043394,110,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.086,48.902
164,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,35.01408748021697,55,C2,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.064,48.901
165,Quartier 3 - Lycée International,RN13,Tilia,Alignement,MA,4.0,A,500,H1,31.830988618379067,50,C1,R5,P,Non,Non,RCPPL,0,Non,Non,TPF,Oui,T2:Bipode,Oui,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.069,48.899
166,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.085,48.903
167,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Fraxinus,Alignement,Gr,1.0,J,600,H2,15.915494309189532,25,C1,L,P,Non,Non,RCPPL,0,Non,Non,TPF,Non,Non,Oui,TPPL,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.068,48.897
168,Quartier 1 - Cœur de Ville et Quatier forestier,Square Giraud Teulon,Betula,Groupe,GR,1.0,J,600,H2,41.38028520389279,65,C2,L,P,Non,Non,RCPLS,Cépée,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,1.0,Non,C1,2.097,48.894
169,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Tilia,Alignement,MA,4.0,A,800,H2,66.84507609859604,105,C3,R5,P,Non,Non,RCPLS,0,Non,Non,TPF,Non,Non,Non,TPLS,0,Non,Non,HPF ,Non,HPBM ,HPLS,0,2.0,Non,C2,2.084,48.903
